,base,tag
0,mój,adj:sg:gen:f:pos
1,niefortunny,adj:pl:nom:n:pos
2,pudło,subst:pl:nom:n
3,przygnębić,praet:pl:n:perf
4,ja,ppron12:sg:dat:m1:pri:nakc
5,do,prep:gen
6,reszta,subst:sg:gen:f
7,.,interp
8,zawsze,adv
9,mieć,praet:sg:m1:imperf
10,być,aglt:sg:pri:perf:wok
11,pretensja,subst:pl:acc:f
12,",",interp
13,że,comp
14,dobry,subst:pl:acc:m1
15,myśliwy,subst:sg:inst:m1
16,a,conj
17,od,prep:gen:nwok
18,dzieciństwo,subst:sg:gen:n
19,nie,qub
20,rozstawać,praet:sg:m1:imperf
21,się,qub
22,z,prep:gen:nwok
23,strzelba,subst:sg:acc:f
24,tu,adv
25,wśród,prep:gen
26,obcy,subst:pl:gen:m1
27,zblamować,praet:sg:m1:perf
28,jak,adv:pos
29,nigdy,adv
30,w,prep:loc:nwok
31,życie,subst:sg:loc:n
32,jakże,adv
33,inaczej,adv
34,strzelać,praet:sg:m1:imperf
35,cietrzew,subst:pl:acc:m2
36,i,conj
37,pardwa,subst:pl:acc:f
38,"""",interp
39,hollandów,ign
40,który,adj:pl:acc:m3:pos
41,pozostawić,praet:sg:m1:perf
42,na,prep:acc
43,wieczny,adj:sg:acc:f:pos
44,zguba,subst:sg:acc:f
45,Petersburg,subst:sg:loc:m3
46,poczciwy,adj:sg:nom:m1:pos
47,Staś,subst:sg:nom:m1
48,Sierakowski,subst:sg:nom:m1
49,pośpieszyć,praet:sg:m1:perf
50,pomoc,subst:sg:inst:f
51,by,comp
52,wyjaśnić,inf:perf
53,niepowodzenie,subst:pl:acc:n
54,-,interp
55,pokazać,impt:sg:sec:perf
56,poprosić,praet:sg:m1:perf
57,gdy,adv
58,podać,praet:sg:m1:perf
59,on,ppron3:sg:dat:m1:ter:nakc:npraep
60,mauzer,subst:sg:gen:m3
61,spytać,praet:sg:m1:perf
62,śmiech,subst:sg:inst:m3
63,:,interp
64,gdzieś,adv
65,ten,adj:sg:acc:n:pos
66,świństwo,subst:sg:acc:n
67,wykopać,praet:sg:m1:perf
68,?,interp
69,ano,qub
70,Gdańsk,subst:sg:loc:m3
71,odrzec,praet:sg:m1:perf
72,zawstydzony,adj:sg:nom:m1:pos
73,chyba,qub
74,ślepy,adj:sg:nom:m1:pos
75,kupować,pcon:imperf
76,taki,adj:sg:acc:f:pos
77,szkarada,subst:sg:acc:f
78,co,subst:sg:nom:n
