,base,tag
0,mój,adj:pl:nom:n:pos
1,niefortunny,adj:pl:nom:n:pos
2,pudło,subst:pl:nom:n
3,przygnębić,praet:pl:n:perf
4,ja,ppron12:sg:acc:m1:pri:akc
5,do,prep:gen
6,reszta,subst:sg:gen:f
7,.,interp
8,zawsze,adv
9,mieć,praet:sg:m1:imperf
10,być,aglt:sg:pri:imperf:wok
11,pretensja,subst:pl:acc:f
12,",",interp
13,że,comp
14,być,fin:sg:pri:imperf
15,dobry,adj:sg:inst:m1:pos
16,myśliwy,subst:sg:inst:m1
17,",",interp
18,a,conj
19,od,prep:gen:nwok
20,dzieciństwo,subst:sg:gen:n
21,nie,qub
22,rozstawać,praet:sg:m1:imperf
23,być,aglt:sg:pri:imperf:wok
24,się,qub
25,z,prep:inst:wok
26,strzelba,subst:sg:inst:f
27,",",interp
28,a,conj
29,tu,adv
30,wśród,prep:gen
31,obcy,adj:pl:gen:m1:pos
32,zblamować,praet:sg:m1:perf
33,być,aglt:sg:pri:imperf:wok
34,się,qub
35,jak,adv:pos
36,nigdy,adv
37,w,prep:loc:nwok
38,życie,subst:sg:loc:n
39,.,interp
40,jakże,adv
41,inaczej,adv
42,strzelać,praet:sg:m1:imperf
43,być,aglt:sg:pri:imperf:wok
44,cietrzew,subst:pl:acc:m2
45,i,conj
46,pardwa,subst:pl:acc:f
47,z,prep:gen:nwok
48,mój,adj:pl:gen:m2:pos
49,"""",interp
50,holland,subst:pl:gen:m2
51,"""",interp
52,",",interp
53,który,adj:pl:acc:m2:pos
54,pozostawić,praet:sg:m1:perf
55,być,aglt:sg:pri:imperf:wok
56,na,prep:acc
57,wieczny,adj:sg:acc:f:pos
58,zguba,subst:sg:acc:f
59,w,prep:loc:nwok
60,Petersburg,subst:sg:loc:m3
61,.,interp
62,poczciwy,adj:sg:nom:m1:pos
63,Staś,subst:sg:nom:m1
64,Sierakowski,subst:sg:nom:m1
65,pośpieszyć,praet:sg:m1:perf
66,ja,ppron12:sg:dat:m1:pri:nakc
67,z,prep:inst:nwok
68,pomoc,subst:sg:inst:f
69,",",interp
70,by,comp
71,wyjaśnić,inf:perf
72,mój,adj:pl:acc:n:pos
73,niepowodzenie,subst:pl:acc:n
74,.,interp
75,-,interp
76,pokazać,impt:sg:sec:perf
77,ja,ppron12:sg:dat:m1:pri:nakc
78,strzelba,subst:sg:acc:f
79,-,interp
80,poprosić,praet:sg:m1:perf
81,",",interp
82,a,conj
83,gdy,adv
84,podać,praet:sg:m1:perf
85,być,aglt:sg:pri:imperf:wok
86,on,ppron3:sg:dat:m1:ter:nakc:npraep
87,mój,adj:sg:acc:m2:pos
88,mauzer,subst:sg:acc:m2
89,",",interp
90,spytać,praet:sg:m1:perf
91,z,prep:inst:wok
92,śmiech,subst:sg:inst:m3
93,:,interp
94,-,interp
95,gdzieś,adv
96,ten,adj:sg:acc:n:pos
97,świństwo,subst:sg:acc:n
98,wykopać,praet:sg:m1:perf
99,?,interp
100,-,interp
101,ano,qub
102,w,prep:loc:nwok
103,Gdańsk,subst:sg:loc:m3
104,-,interp
105,odrzec,praet:sg:m1:perf
106,być,aglt:sg:pri:imperf:wok
107,zawstydzony,adj:sg:nom:m1:pos
108,.,interp
109,-,interp
110,chyba,qub
111,być,praet:sg:m1:imperf
112,być,aglt:sg:sec:imperf:wok
113,ślepy,adj:sg:nom:m1:pos
114,",",interp
115,kupować,pcon:imperf
