,base,tag
0,mój,adj:pl:nom:n:pos
1,niefortunny,adj:pl:nom:n:pos
2,pudło,subst:pl:nom:n
3,przygnębić,praet:pl:n:perf
4,ja,ppron12:sg:acc:m1:pri:akc
5,do,prep:gen
6,reszta,subst:sg:gen:f
7,.,interp
8,zawsze,adv
9,miał,subst:sg:inst:m3
10,pretensja,subst:pl:acc:f
11,",",interp
12,że,comp
13,być,fin:sg:pri:imperf
14,dobry,adj:sg:inst:m1:pos
15,myśliwy,subst:sg:inst:m1
16,",",interp
17,a,conj
18,od,prep:gen:nwok
19,dzieciństwo,subst:sg:gen:n
20,nie,qub
21,rozstawać,praet:sg:m1:imperf
22,być,aglt:sg:pri:imperf:wok
23,się,qub
24,z,prep:inst:wok
25,strzelba,subst:sg:inst:f
26,",",interp
27,a,conj
28,tu,adv
29,wśród,prep:gen
30,obcy,subst:pl:gen:m1
31,zblamować,praet:sg:m1:perf
32,być,aglt:sg:pri:imperf:wok
33,się,qub
34,jak,adv:pos
35,nigdy,adv
36,w,prep:loc:nwok
37,życie,subst:sg:loc:n
38,.,interp
39,jakże,adv
40,inaczej,adv
41,strzelać,praet:sg:m1:imperf
42,być,aglt:sg:pri:imperf:wok
43,cietrzewi,adj:pl:acc:f:pos
44,i,conj
45,pardwa,subst:pl:acc:f
46,z,prep:gen:nwok
47,mój,adj:pl:gen:m1:pos
48,"""",interp
49,Holland,subst:pl:gen:m1
50,"""",interp
51,",",interp
52,który,adj:pl:acc:f:pos
53,pozostawić,praet:sg:m1:perf
54,być,aglt:sg:pri:imperf:wok
55,na,prep:acc
56,wieczny,adj:sg:acc:f:pos
57,zguba,subst:sg:acc:f
58,w,prep:loc:nwok
59,Petersburg,subst:sg:loc:m3
60,.,interp
61,poczciwy,adj:sg:nom:m1:pos
62,Staś,subst:sg:nom:m1
63,Sierakowski,subst:sg:nom:m1
64,pośpieszyć,praet:sg:m1:perf
65,ja,ppron12:sg:dat:m1:pri:nakc
66,z,prep:inst:nwok
67,pomoc,subst:sg:inst:f
68,",",interp
69,by,comp
70,wyjaśnić,inf:perf
71,mój,adj:pl:acc:n:pos
72,niepowodzenie,subst:pl:acc:n
73,.,interp
74,-,interp
75,pokazać,impt:sg:sec:perf
76,ja,ppron12:sg:dat:m1:pri:nakc
77,strzelba,subst:sg:acc:f
78,-,interp
79,poprosić,praet:sg:m1:perf
80,",",interp
81,a,conj
82,gdy,adv
83,podać,praet:sg:m1:perf
84,być,aglt:sg:pri:imperf:wok
85,on,ppron3:sg:dat:m1:ter:nakc:npraep
86,mój,adj:sg:acc:m2:pos
87,mauzer,subst:sg:acc:m2
88,",",interp
89,spytać,praet:sg:m1:perf
90,z,prep:inst:wok
91,śmiech,subst:sg:inst:m3
92,:,interp
93,-,interp
94,gdzieś,adv
95,ten,adj:sg:acc:n:pos
96,świństwo,subst:sg:acc:n
97,wykopać,praet:sg:m1:perf
98,?,interp
99,-,interp
100,ano,qub
101,w,prep:loc:nwok
102,Gdańsk,subst:sg:loc:m3
103,-,interp
104,odrzec,praet:sg:m1:perf
105,być,aglt:sg:pri:imperf:wok
106,zawstydzić,ppas:sg:nom:m1:perf:aff
107,.,interp
108,-,interp
109,chyba,qub
110,być,praet:sg:m1:imperf
111,być,aglt:sg:sec:imperf:wok
112,ślepy,adj:sg:nom:m1:pos
113,",",interp
114,kupować,pcon:imperf
115,taki,adj:sg:acc:f:pos
